-us-judgment-us-1767-09-1us15-main, Citation(32,H.,8,-1), 3
-us-judgment-us-1778-09-1us39-main, Citation(7,W.,3,-1), 1
-us-judgment-us-1780-04-1us47-jamessclaim1780-main, Citation(1,Will.,600,-1), 1
-us-judgment-us-1781-04-2us86-main, Citation(7,W.,3,-1), 2
-us-judgment-us-1781-09-1us60-main, Citation(2,Haw.,186,-1), 1
-us-judgment-us-1782-04-1us64-main, Citation(32,H.,8,-1), 3
-us-judgment-us-1782-04-1us64-main, Citation(3,Black.,370,-1), 1
-us-judgment-us-1782-04-1us68-respublicavshryber1782-main, Citation(8,H.,6,-1), 1
-us-judgment-us-1783-09-1us73-main, Citation(28,Edw.,3,-1), 1
-us-judgment-us-1783-09-1us73-main, Citation(28,H.,8,-1), 1
-us-judgment-us-1785-09-1us137-main, Citation(2,Will.,524,-1), 1
-us-judgment-us-1785-09-1us137-main, Citation(2,Black,108,-1), 1
-us-judgment-us-1785-09-1us147-main, Citation(12,W.,3,-1), 1
-us-judgment-us-1786-09-1us180-main, Citation(3,Black.,163,-1), 1
-us-judgment-us-1788-01-1us234-main, Citation(1,Will.,212,-1), 1
-us-judgment-us-1788-06-1us296-main, Citation(8,H.,6,-1), 2
-us-judgment-us-1789-04-1us415-main, Citation(2,Will.,624,-1), 1
-us-judgment-us-1789-04-1us430-levingvwill1789-main, Citation(1,Will.,279,-1), 1
-us-judgment-us-1789-04-1us430-levingvwill1789-main, Citation(27,H.,8,-1), 1
-us-judgment-us-1789-09-1us444-main, Citation(1,Black.,295,-1), 1
-us-judgment-us-1789-09-1us452-main, Citation(3,Black.,304,-1), 1
-us-judgment-us-1789-09-1us458-main, Citation(2,Will.,380,-1), 2
-us-judgment-us-1789-09-1us458-main, Citation(3,Black.,410,-1), 2
-us-judgment-us-1791-09-4us109-main, Citation(1,Dall.,271,-1), 1
-us-judgment-us-1791-09-4us111-main, Citation(1,Dall.,265,-1), 1
-us-judgment-us-1792-01-2us137-main, Citation(1,Bur.,347,-1), 1
-us-judgment-us-1792-01-4us112-main, Citation(1,Dall.,234,-1), 1
-us-judgment-us-1792-01-4us115-main, Citation(1,Dall.,213,-1), 2
-us-judgment-us-1792-03-2us158-ralstonvbell1792-main, Citation(1,Dall.,371,-1), 1
-us-judgment-us-1792-04-2us176-main, Citation(2,Will.,644,-1), 1
-us-judgment-us-1792-07-2us286-main, Citation(1,Will.,345,-1), 1
-us-judgment-us-1793-02-2us419-main, Citation(9,H.,4,-1), 3
-us-judgment-us-1793-04-4us127-main, Citation(1,Dall.,252,-1), 1
-us-judgment-us-1794-02-3us6-main, Citation(2,R.,3,-1), 1
-us-judgment-us-1794-04-4us138-main, Citation(14,H.,7,-1), 1
-us-judgment-us-1795-08-3us133-main, Citation(2,R.,3,-1), 1
-us-judgment-us-1796-03-2us243-main, Citation(3,Will.,325,-1), 2
-us-judgment-us-1796-04-4us325-main, Citation(2,Black.,435,-1), 1
-us-judgment-us-1798-08-3us401-main, Citation(2,Dall.,358,-1), 1
-us-judgment-us-1798-08-3us401-main, Citation(9,W.,3,-1), 1
-us-judgment-us-1798-12-3us479-main, Citation(13,H.,7,-1), 2
-us-judgment-us-1799-02-3us415-main, Citation(1,Alk.,13,-1), 1
-us-judgment-us-1799-08-4us1-main, Citation(3,Dall.,411,-1), 5
-us-judgment-us-1799-08-4us1-main, Citation(3,Dal.,335,-1), 1
-us-judgment-us-1799-08-4us8-main, Citation(3,Dall.,382,-1), 1
-us-judgment-us-1800-02-4us14-main, Citation(2,Dall.,308,-1), 4
-us-judgment-us-1800-02-4us22-coursevstead1800-main, Citation(3,Dall.,382,-1), 1
-us-judgment-us-1801-08-5us1-main, Citation(2,Rob.,126,-1), 15
-us-judgment-us-1801-08-5us1-main, Citation(3,Dal.,321,-1), 3
-us-judgment-us-1801-09-4us229-main, Citation(12,W.,3,-1), 1
-us-judgment-us-1801-12-5us110-main, Citation(1,Wash.,26,-1), 1
-us-judgment-us-1802-09-4us237-main, Citation(1,Dall.,213,-1), 1
-us-judgment-us-1802-12-4us246-main, Citation(2,Marsh.,620,-1), 4
-us-judgment-us-1802-12-4us255-main, Citation(32,H.,8,-1), 1
-us-judgment-us-1803-02-5us181-main, Citation(2,Wash.,230,-1), 1
-us-judgment-us-1803-02-5us194-main, Citation(1,Dall.,110,-1), 1
-us-judgment-us-1803-02-5us194-main, Citation(1,Wash.,115,-1), 6
-us-judgment-us-1803-02-5us259-main, Citation(2,Dall.,192,-1), 2
-us-judgment-us-1803-02-5us259-main, Citation(2,Wash.,231,-1), 1
-us-judgment-us-1803-02-5us259-main, Citation(3,Dal.,365,-1), 2
-us-judgment-us-1803-02-5us343-abercrombievdupuis1803-main, Citation(3,Dall.,383,-1), 1
-us-judgment-us-1803-03-4us267-main, Citation(9,H.,6,-1), 2
-us-judgment-us-1803-03-4us269-main, Citation(32,H.,8,-1), 1
-us-judgment-us-1803-04-4us363-main, Citation(1,Dall.,6,-1), 3
-us-judgment-us-1803-12-4us286-main, Citation(1,Dall.,349,-1), 4
-us-judgment-us-1803-12-4us294-main, Citation(2,Marsh.,442,-1), 1
-us-judgment-us-1804-01-4us95-main, Citation(2,Dall.,174,-1), 1
-us-judgment-us-1804-02-6us10-main, Citation(1,Wash.,340,-1), 1
-us-judgment-us-1804-02-6us187-main, Citation(4,Rob.,55,-1), 3
-us-judgment-us-1804-02-6us240-main, Citation(3,Dall.,188,-1), 3
-us-judgment-us-1804-02-6us240-main, Citation(1,Rob.,234,-1), 14
-us-judgment-us-1804-02-6us272-main, Citation(5,Bur.,2628,-1), 1
-us-judgment-us-1804-02-6us33-penningtonvcoxe1804-main, Citation(2,Bur.,1157,-1), 2
-us-judgment-us-1804-02-6us64-main, Citation(1,Dall.,182,-1), 2
-us-judgment-us-1804-02-6us64-main, Citation(2,Rob.,202,-1), 11
-us-judgment-us-1804-02-6us9-woodvwagnon1804-main, Citation(3,Dall.,382,-1), 1
-us-judgment-us-1804-09-4us304-main, Citation(1,Dall.,414,-1), 1
-us-judgment-us-1804-09-4us308-main, Citation(2,Dall.,4,-1), 1
-us-judgment-us-1804-09-4us308-main, Citation(3,Rob.,24,-1), 10
-us-judgment-us-1804-10-4us387-main, Citation(3,Dall.,478,-1), 1
-us-judgment-us-1804-10-4us389-main, Citation(1,Marsh.,206,-1), 2
-us-judgment-us-1804-10-4us389-main, Citation(4,Rob.,218,-1), 1
-us-judgment-us-1805-02-6us280-main, Citation(1,Dall.,53,-1), 3
-us-judgment-us-1805-02-6us280-main, Citation(1,Dal.,53,-1), 1
-us-judgment-us-1805-02-6us358-main, Citation(3,Dall.,173,-1), 1
-us-judgment-us-1805-02-6us358-main, Citation(33,H.,8,-1), 1
-us-judgment-us-1805-02-7us1-main, Citation(1,Dall.,213,-1), 1
-us-judgment-us-1805-02-7us140-main, Citation(2,Black.,447,-1), 2
-us-judgment-us-1805-02-7us140-main, Citation(1,Wash.,177,-1), 1
-us-judgment-us-1805-02-7us159-main, Citation(3,Dall.,297,-1), 1
-us-judgment-us-1805-02-7us187-main, Citation(1,Dall.,193,-1), 3
-us-judgment-us-1805-02-7us187-main, Citation(2,Wash.,64,-1), 1
-us-judgment-us-1805-02-7us73-main, Citation(3,Dal.,301,-1), 1
-us-judgment-us-1805-02-7us97-main, Citation(5,Bur.,2638,-1), 1
-us-judgment-us-1806-02-7us337-main, Citation(33,H.,8,-1), 1
-us-judgment-us-1806-02-7us337-main, Citation(2,Bur.,1009,-1), 1
-us-judgment-us-1806-02-7us357-main, Citation(2,Bur.,683,-1), 6
-us-judgment-us-1806-02-7us399-main, Citation(3,Dal.,386,-1), 1
-us-judgment-us-1806-02-7us448-main, Citation(3,Dal.,17,-1), 1
-us-judgment-us-1806-02-7us454-main, Citation(3,Dal.,199,-1), 2
-us-judgment-us-1806-02-7us458-main, Citation(4,Rob.,284,-1), 2
-us-judgment-us-1806-04-4us417-main, Citation(2,Marsh.,434,-1), 3
-us-judgment-us-1806-10-4us426-main, Citation(23,H.,8,-1), 6
-us-judgment-us-1806-10-4us426-main, Citation(13,R.,2,-1), 1
-us-judgment-us-1806-10-4us430-main, Citation(2,Marsh.,529,-1), 1
-us-judgment-us-1806-12-4us441-main, Citation(19,H.,6,-1), 2
-us-judgment-us-1806-12-4us441-main, Citation(2,Caines,111,-1), 1
-us-judgment-us-1806-12-4us455-main, Citation(1,Marsh.,162,-1), 2
-us-judgment-us-1806-12-4us459-main, Citation(1,Johns.,406,-1), 1
-us-judgment-us-1806-12-4us459-main, Citation(2,Marsh.,644,-1), 5
-us-judgment-us-1806-12-4us463-main, Citation(1,Marsh.,81,-1), 3
-us-judgment-us-1807-02-8us164-main, Citation(3,Dall.,240,-1), 1
-us-judgment-us-1807-02-8us180-main, Citation(4,Dall.,21,-1), 1
-us-judgment-us-1807-02-8us2-main, Citation(3,Dall.,97,-1), 8
-us-judgment-us-1807-02-8us2-main, Citation(3,Rob.,53,-1), 3
-us-judgment-us-1807-02-8us29-main, Citation(2,Dall.,219,-1), 1
-us-judgment-us-1807-02-8us29-main, Citation(1,Rob.,245,-1), 5
-us-judgment-us-1807-02-8us46-main, Citation(4,Dall.,8,-1), 1
-us-judgment-us-1807-02-8us48-main, Citation(4,Dall.,28,-1), 1
-us-judgment-us-1807-02-8us62-main, Citation(1,Dall.,16,-1), 5
-us-judgment-us-1807-02-8us75-main, Citation(3,Dall.,17,-1), 2
-us-judgment-us-1808-02-8us185-main, Citation(2,Dall.,51,-1), 4
-us-judgment-us-1808-02-8us185-main, Citation(1,Rob.,7,-1), 12
-us-judgment-us-1808-02-8us209-main, Citation(2,Dall.,234,-1), 3
-us-judgment-us-1808-02-8us216-main, Citation(4,Dall.,25,-1), 1
-us-judgment-us-1808-02-8us224-main, Citation(3,Dall.,416,-1), 1
-us-judgment-us-1808-02-8us241-main, Citation(3,Dall.,7,-1), 5
-us-judgment-us-1808-02-8us241-main, Citation(2,Wash.,295,-1), 1
-us-judgment-us-1808-02-8us241-main, Citation(4,Rob.,50,-1), 19
-us-judgment-us-1808-02-8us241-main, Citation(2,Bur.,693,-1), 1
-us-judgment-us-1808-02-8us317-main, Citation(1,Wash.,133,-1), 1
-us-judgment-us-1808-02-8us347-main, Citation(4,Dall.,28,-1), 2
